Tourn Name,Dates,Year,Location,State
dowling20,12/11 to 12/13,2020,Online,IA/US
dowling19,12/13 to 12/15,2019,West Des Moines,IA/US
strake20,12/18 to 12/20,2020,Online,TX/US
strake19,12/20 to 12/22,2019,Houston,TX/US
applevalley20,11/6 to 11/8,2020,NSDA Campus,MN/US
applevalley19,11/8 to 11/10,2019,Apple Valley,MN/US
bronx20,10/15 to 10/18,2020,NSDA Campus,NY/US
bronx19,10/18 to 10/20,2019,Bronx,New York
glenbrooks19,11/23 to 11/25,2019,Northbrook and Glenview,IL/US
glenbrooks20,11/21 to 11/23,2020,Classrooms.Cloud,IL/US
greenhill19,9/12 to 9/16,2019,Addison,TX/US
greenhill20,9/17 to 9/21,2020,Addison,TX/US
valley19,9/21 to 9/23,2019,West Des Moines,IA/US
valley20,9/25 to 9/28,2020,West Des Moines,IA/US
grapevine20,9/11 to 9/15,2020,Online,US
grapevine19,9/6 to 9/7,2019,GRAPEVINE,TX/US
loyola19,9/6 to 9/8,2019,Los Angeles,CA/US
loyola20,9/5 to 9/7,2020,Los Angeles,CA/US
meadows20,10/31 to 11/2,2020,NSDA Campus,NV/US
meadows19,10/25 to 10/27,2019,Las Vegas NV,NV/US
presentation19,10/11 to 10/14,2019,San Jose,CA/US
presentation20,10/5 to 10/12,2020,classrooms.cloud,CA/US
yale19,9/13 to 9/15,2019,New Haven,CT/US
yale20,10/1 to 10/4,2020,Online,US
alta20,12/3 to 12/5,2020,ONLINE,UT/US
alta19,12/5 to 12/7,2019,Sandy,Utah
holycross19,9/27 to 9/28,2019,New Orleans,LA/US
holycross20,9/24 to 9/27,2020,NSDA Campus,LA/US
isidore20,12/11 to 12/13,2020,NSDA Campus,LA/US
isidore19,12/13 to 12/15,2019,New Orleans,LA/US
jackhowe19,9/21 to 9/23,2019,Long Beach,CA/US
jackhowe20,9/19 to 9/21,2020,NSDA Campus,CA/US
princeton19,12/6 to 12/8,2019,Princeton,NJ/US
princeton20,12/3 to 12/6,2020,NSDA Campus,NJ/US
scarsdale20,11/14 to 11/15,2020,NSDA Campus,NY/US
scarsdale19,11/9 to 11/10,2019,Scarsdale,NY/US
UT19,12/6 to 12/8,2019,Austin,TX/US
UT20,12/4 to 12/6,2020,Austin,TX/US
cypress19,11/9 to 11/10,2019,Weston/Online,FL/US
cypress20,11/14 to 11/15,2020,Nsda Campus,US
duke20,9/19 to 9/20,2020,NSDA Campus,US
duke19,10/5,2019,Durham,NC
heritage19,2/1 to 2/2,2019,Colleyville,TX/US
heritage20,10/16 to 10/18,2020,Classrooms.Cloud,OK/US
ridge20,12/11 to 12/13,2020,NSDA Campus,NJ/US
ridge19,12/13 to 12/14,2019,Basking Ridge,NJ/US
seattle20,11/5 to 11/7,2020,Online,WA/US
seattle19,11/15 to 11/16,2019,Seattle,WA/US
uk19,9/7 to 9/9,2019,Lexington,KY/US
uk20,9/12 to 9/14,2020,Lexington,KY/US
blake19,12/20 to 12/22,2019,Minneapolis,MN/US
blake20,12/18 to 12/22,2020,Online,MN/US
collegeprep19,12/21 to 12/22,2019,Oakland,CA
collegeprep20,12/18 to 12/20,2020,Online,CA/US
usc20,12/4 to 12/7,2020,NSDA Campus,CA/US
usc19,3/1 to 3/3,2019,Los Angeles,CA/US
bluekey19,11/1 to 11/3,2019,Gainesville,FL/US
bluekey20,10/30 to 11/1,2020,Online,FL/US
