The United States	68,703	64,324	64,324
Alabama	56,200	50,841	50,841
Alaska	78,394	69,979	69,979
Arizona	70,674	63,411	63,411
Arkansas	54,539	50,683	50,683
California	78,105	71,766	71,766
Colorado	72,499	74,357	74,357
Connecticut	87,291	74,131	74,131
Delaware	74,194	66,190	66,190
District of Columbia	93,111	87,304	87,304
Florida	58,368	55,634	55,634
Georgia	56,628	56,832	56,832
Hawaii	88,006	81,559	81,559
Idaho	65,988	59,792	59,792
Illinois	74,399	71,416	71,416
Indiana	66,693	60,977	60,977
Iowa	66,054	69,963	69,963
Kansas	73,151	65,096	65,096
Kentucky	55,662	55,543	55,543
Louisiana	51,707	50,878	50,878
Maine	66,546	59,726	59,726
Maryland	95,572	87,785	87,785
Massachusetts	87,707	87,909	87,909
Michigan	64,119	61,544	61,544
Minnesota	81,426	73,118	73,118
Mississippi	44,787	43,556	43,556
Missouri	60,597	62,844	62,844
Montana	60,195	58,724	58,724
Nebraska	73,071	68,799	68,799
Nevada	70,906	62,985	62,985
New Hampshire	86,900	82,820	82,820
New Jersey	87,726	75,520	75,520
New Mexico	53,113	49,158	49,158
New York	71,855	68,493	68,493
North Carolina	61,159	54,336	54,336
North Dakota	70,031	67,710	67,710
Ohio	64,663	62,750	62,750
Oklahoma	59,397	55,420	55,420
Oregon	74,413	70,418	70,418
Pennsylvania	70,582	65,693	65,693
Rhode Island	70,151	63,394	63,394
South Carolina	62,028	58,485	58,485
South Dakota	64,255	60,540	60,540
Tennessee	56,627	57,076	57,076
Texas	67,444	60,868	60,868
Utah	84,523	78,463	78,463
Vermont	74,305	71,335	71,335
Virginia	81,313	78,549	78,549
Washington	82,454	81,170	81,170
West Virginia	53,706	51,489	51,489
Wisconsin	67,355	63,764	63,764
Wyoming	65,134	63,672	63,672
