Tournament,Entries 2019,Entries 2020,States 2019,States 2020,Local 2020 Participants,Avg Dist 2019,Avg Dist 2020,Avg ACT 2019,Avg ACT 2020,Avg Income 2019,Avg Income 2020
UT,155,100,4,7,92,31.804715172621222,176.4152368655271,20.43032258064516,20.554000000000006,66853.56129032258,66983.1
alta,70,109,11,21,90,530.6020434364164,915.2594345869588,21.412857142857124,21.825688073394474,76914.74285714286,75456.11926605504
applevalley,150,173,22,21,168,1340.0036314168954,1611.7792199214316,21.51999999999999,21.94219653179189,72332.7,73665.32369942196
blake,108,112,18,18,104,918.7912742106475,1219.9901896687081,22.31111111111111,22.337499999999988,75442.02777777778,74924.28571428571
bluekey,133,122,11,19,105,591.7695983161366,1199.4275004523872,20.751127819548838,21.106557377049157,61904.1954887218,66003.45081967213
bronx,171,185,17,23,163,894.5225926135464,1732.1147714749186,23.218128654970734,21.944324324324302,75401.53801169591,71628.50270270271
collegeprep,105,124,7,17,112,194.1902542465113,520.6829123040847,22.498095238095196,22.450806451612866,77455.12380952381,77207.21774193548
cypress,36,36,2,8,18,197.50492848315378,1237.367353417384,20.033333333333346,20.763888888888896,57930.083333333336,65147.72222222222
dowling,46,58,5,14,36,438.7359269268798,734.9076245222992,20.760869565217394,20.89310344827586,70490.28260869565,69901.18965517242
duke,58,93,9,18,60,169.7202607956104,1008.418219315857,20.256896551724136,21.084946236559126,68736.22413793103,70133.9247311828
glenbrooks,183,180,25,22,171,1402.8942542889154,1639.1055693996625,21.70874316939889,21.797222222222203,70500.53551912568,72326.4388888889
grapevine,117,145,8,18,119,112.30593855907526,1000.3983734811588,20.399130434782613,21.388275862068948,66575.68695652173,69849.69655172413
greenhill,115,101,12,16,88,943.1531856791787,1207.350468663863,21.45652173913042,21.820792079207912,70803.2,72054.11881188118
heritage,74,37,2,11,12,44.8156243591647,1151.0807024232472,20.434246575342467,21.205405405405408,66736.87671232877,70050.24324324324
holycross,37,68,6,18,36,632.0391849374256,1324.106539448299,19.25405405405405,21.05735294117647,57262.62162162162,67021.63235294117
isidore,75,88,11,19,61,800.0082214233075,1342.2992976403982,20.37866666666666,21.534090909090903,61023.56,68219.19318181818
jackhowe,95,144,2,15,107,39.94385144046874,530.9640535751977,22.573684210526277,22.213888888888842,78108.04210526316,76536.33333333333
loyola,66,172,4,22,110,86.24814241520168,1007.3764754600035,22.531818181818164,22.305232558139494,77815.90909090909,75397.02325581395
meadows,41,71,7,10,58,548.8662239247708,1155.3077099621764,21.91707317073172,22.415492957746466,76525.14634146342,76292.66197183098
presentation,125,153,5,13,136,116.38528269272962,691.7760541368921,22.478048780487754,22.094117647058784,77502.52032520325,75102.98039215687
princeton,144,112,11,19,93,377.18788330959376,790.2307883482557,23.739583333333307,23.20446428571429,77032.22916666667,75459.73214285714
ridge,52,59,6,6,52,189.22835469382127,594.7027440595009,24.294230769230783,23.971186440677965,81983.26923076923,79971.72881355933
seattle,38,41,2,9,28,16.278536710159678,559.2576779989822,22.110526315789485,21.873170731707326,82020.68421052632,78574.82926829268
strake,44,61,6,15,47,261.58473405390777,968.2209861099834,20.638636363636365,21.136065573770484,67529.43181818182,68569.85245901639
uk,44,102,12,26,47,483.79533531303167,1196.498224731174,20.659090909090903,21.472549019607833,62164.59090909091,70753.61764705883
usc,68,35,5,7,28,192.62431809904447,639.72211858828,22.319117647058814,22.045714285714297,78203.33823529411,75210.6
valley,93,201,14,24,175,1251.2750732675327,1638.2581814385921,21.904301075268805,22.22139303482586,70530.81720430107,74152.08457711442
yale,156,172,14,26,149,742.47906991137,1762.7251036059095,23.260897435897416,22.148255813953465,75159.42948717948,72643.0
